source,campaign,influencer_id,user_id,product,date,orders,revenue
paid_ad,camp_2,,1571,Multivitamin,2025-06-20 19:32:40.393104,0,0
paid_ad,camp_1,,10,Multivitamin,2025-07-02 19:32:40.393104,0,0
paid_ad,camp_1,,374,Supplement,2025-08-10 19:32:40.393104,0,0
paid_ad,camp_1,,1878,Protein,2025-07-28 19:32:40.393104,0,0
influencer,camp_3,6,405,Supplement,2025-07-26 19:32:40.393104,1,999
organic,,,1461,Protein,2025-08-07 19:32:40.393104,0,0
organic,,,1109,Multivitamin,2025-06-05 19:32:40.393104,0,0
paid_ad,camp_2,,1470,Supplement,2025-07-08 19:32:40.393104,0,0
organic,,,250,Multivitamin,2025-07-27 19:32:40.393104,0,0
paid_ad,camp_5,,1078,Multivitamin,2025-07-31 19:32:40.393104,0,0
organic,,,853,Snack,2025-06-02 19:32:40.393104,0,0
organic,,,738,Multivitamin,2025-07-10 19:32:40.393104,0,0
organic,,,447,Protein,2025-06-29 19:32:40.393104,0,0
organic,,,542,Snack,2025-07-15 19:32:40.393104,0,0
paid_ad,camp_5,,184,Protein,2025-06-06 19:32:40.393104,0,0
organic,,,1474,Snack,2025-07-05 19:32:40.393104,0,0
organic,,,761,Supplement,2025-05-27 19:32:40.393104,0,0
influencer,camp_5,3,900,Supplement,2025-06-25 19:32:40.393104,0,0
influencer,camp_1,5,634,Multivitamin,2025-06-08 19:32:40.393104,0,0
organic,,,645,Multivitamin,2025-08-02 19:32:40.393104,0,0
organic,,,1837,Multivitamin,2025-07-24 19:32:40.393104,0,0
paid_ad,camp_1,,1080,Snack,2025-06-16 19:32:40.393104,0,0
organic,,,8,Protein,2025-08-10 19:32:40.393104,0,0
influencer,camp_3,14,726,Supplement,2025-07-17 19:32:40.393104,0,0
organic,,,1031,Snack,2025-06-29 19:32:40.393104,0,0
organic,,,1298,Snack,2025-06-18 19:32:40.393104,0,0
influencer,camp_4,7,485,Protein,2025-07-28 19:32:40.393104,0,0
paid_ad,camp_5,,537,Supplement,2025-06-25 19:32:40.393104,0,0
influencer,camp_4,15,1170,Multivitamin,2025-07-05 19:32:40.393104,0,0
organic,,,595,Protein,2025-06-15 19:32:40.393104,0,0
organic,,,1467,Protein,2025-06-12 19:32:40.393104,0,0
influencer,camp_1,6,662,Snack,2025-06-26 19:32:40.393104,0,0
influencer,camp_4,8,759,Protein,2025-08-10 19:32:40.393104,0,0
paid_ad,camp_3,,1756,Snack,2025-07-26 19:32:40.393104,0,0
paid_ad,camp_4,,574,Snack,2025-07-01 19:32:40.393104,0,0
influencer,camp_1,4,1669,Snack,2025-05-31 19:32:40.393104,0,0
organic,,,90,Multivitamin,2025-07-05 19:32:40.393104,0,0
organic,,,845,Protein,2025-06-16 19:32:40.393104,0,0
organic,,,1943,Multivitamin,2025-06-12 19:32:40.393104,0,0
organic,,,1343,Protein,2025-05-24 19:32:40.393104,0,0
organic,,,1443,Protein,2025-07-29 19:32:40.393104,0,0
